年度,月份,郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),售電度數(當年累計)
107,12,100,中正區,1表燈非營業用,"60,980","1,369","19,492,819",288322674
107,12,100,中正區,2表燈營業用,"9,855","20,333","16,642,367",195827033
107,12,100,中正區,3表燈小計,**,"21,702","36,135,186",484149707
107,12,100,中正區,4低壓綜合裝置非營業用,*,217,"20,630",245961
107,12,100,中正區,5低壓綜合需量非營業用,721,"30,337","4,604,342",56853206
107,12,100,中正區,6低壓綜合非營業用電小計,**,"30,554","4,624,972",57099167
107,12,100,中正區,7低壓綜合裝置營業用,24,1024,"98,972",1278259
107,12,100,中正區,8低壓綜合需量營業用,902,"38,509","8,375,377",101518852
107,12,100,中正區,9低壓綜合營業用電小計,**,"39,533","8,474,349",102797111
107,12,100,中正區,10低壓綜合用電小計,**,"70,087","13,099,321",159896278
107,12,100,中正區,11低壓裝置電力,234,"2,469","207,369",2863052
107,12,100,中正區,12低壓需量電力,6,107,"6,728",110137
107,12,100,中正區,13低壓電力小計,**,"2,576","214,097",2973189
107,12,100,中正區,14高壓電力,300,"218,148","60,407,628",779593449
107,12,100,中正區,15特高壓電力,*,"14,540","5,638,900",100548396
107,12,100,中正區,16高＆特高壓電力小計,**,"232,688","66,046,528",880141845
107,12,100,中正區,17電力小計,**,"235,264","66,260,625",883115034
107,12,100,中正區,18綜合＆電力小計,**,"305,351","79,359,946",1043011312
107,12,100,中正區,19電燈＆綜合＆電力小計,**,"327,053","115,495,132",1527161019
107,12,100,中正區,20臨時電燈,25,0,"33,020",539726
107,12,100,中正區,21臨時電力,35,"2,477","288,454",2751353
107,12,100,中正區,22臨時用電小計,**,"2,477","321,474",3291079
107,12,100,中正區,23總計（含臨時用電）,**,"327,053","115,816,606",1530452098
107,12,100,中正區,24表燈合計,**,"21,702","36,168,206",484689433
107,12,100,中正區,25綜合＆電力合計,**,"305,351","79,648,400",1045762665
107,12,103,大同區,1表燈非營業用,"52,935",258,"13,410,167",225563666
107,12,103,大同區,2表燈營業用,"10,577","10,055","11,014,455",139168614
107,12,103,大同區,3表燈小計,**,"10,313","24,424,622",364732280
107,12,103,大同區,4低壓綜合裝置非營業用,*,0,0,0
107,12,103,大同區,5低壓綜合需量非營業用,456,"16,546","2,253,617",27933430
107,12,103,大同區,6低壓綜合非營業用電小計,**,"16,546","2,253,617",27933430
107,12,103,大同區,7低壓綜合裝置營業用,16,720,"71,599",975118
107,12,103,大同區,8低壓綜合需量營業用,456,"19,751","4,042,764",49378257
107,12,103,大同區,9低壓綜合營業用電小計,**,"20,471","4,114,363",50353375
107,12,103,大同區,10低壓綜合用電小計,**,"37,017","6,367,980",78286805
107,12,103,大同區,11低壓裝置電力,247,"2,190","112,473",1837658
107,12,103,大同區,12低壓需量電力,24,584,"53,275",854607
107,12,103,大同區,13低壓電力小計,**,"2,774","165,748",2692265
107,12,103,大同區,14高壓電力,86,"45,186","12,149,023",160220083
107,12,103,大同區,15特高壓電力,*,"23,771","12,632,800",148705600
107,12,103,大同區,16高＆特高壓電力小計,**,"68,957","24,781,823",308925683
107,12,103,大同區,17電力小計,**,"71,731","24,947,571",311617948
107,12,103,大同區,18綜合＆電力小計,**,"108,748","31,315,551",389904753
107,12,103,大同區,19電燈＆綜合＆電力小計,**,"119,061","55,740,173",754637033
107,12,103,大同區,20臨時電燈,13,0,"55,350",484796
107,12,103,大同區,21臨時電力,19,1457,"197,989",1791797
107,12,103,大同區,22臨時用電小計,**,1457,"253,339",2276593
107,12,103,大同區,23總計（含臨時用電）,**,"119,061","55,993,512",756913626
107,12,103,大同區,24表燈合計,**,"10,313","24,479,972",365217076
