年度,月份,郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),售電度數(當年累計)
105,12,100,中正區,1表燈非營業用,"60,201","1,231","22,285,708",299609735
105,12,100,中正區,2表燈營業用,"9,893","18,425","17,828,020",197226748
105,12,100,中正區,3表燈小計,**,"19,656","40,113,728",496836483
105,12,100,中正區,4低壓綜合裝置非營業用,*,217,"14,742",203497
105,12,100,中正區,5低壓綜合需量非營業用,687,"30,074","4,528,696",56939063
105,12,100,中正區,6低壓綜合非營業用電小計,**,"30,291","4,543,438",57142560
105,12,100,中正區,7低壓綜合裝置營業用,27,1117,"115,255",1473301
105,12,100,中正區,8低壓綜合需量營業用,912,"39,874","8,159,002",103771467
105,12,100,中正區,9低壓綜合營業用電小計,**,"40,991","8,274,257",105244768
105,12,100,中正區,10低壓綜合用電小計,**,"71,282","12,817,695",162387328
105,12,100,中正區,11低壓裝置電力,246,"2,579","215,502",3200832
105,12,100,中正區,12低壓需量電力,6,107,"7,696",104379
105,12,100,中正區,13低壓電力小計,**,"2,686","223,198",3305211
105,12,100,中正區,14高壓電力,295,"222,513","62,966,282",827285660
105,12,100,中正區,15特高壓電力,*,"18,040","8,757,400",111099800
105,12,100,中正區,16高＆特高壓電力小計,**,"240,553","71,723,682",938385460
105,12,100,中正區,17電力小計,**,"243,239","71,946,880",941690671
105,12,100,中正區,18綜合＆電力小計,**,"314,521","84,764,575",1104077999
105,12,100,中正區,19電燈＆綜合＆電力小計,**,"334,177","124,878,303",1600914482
105,12,100,中正區,20臨時電燈,33,0,"44,159",651445
105,12,100,中正區,21臨時電力,21,"1,235","142,061",2866436
105,12,100,中正區,22臨時用電小計,**,"1,235","186,220",3517881
105,12,100,中正區,23總計（含臨時用電）,**,"334,177","125,064,523",1604432363
105,12,100,中正區,24表燈合計,**,"19,656","40,157,887",497487928
105,12,100,中正區,25綜合＆電力合計,**,"314,521","84,906,636",1106944435
105,12,103,大同區,1表燈非營業用,"52,733",378,"16,462,260",232148830
105,12,103,大同區,2表燈營業用,"10,640","8,295","12,158,557",139328924
105,12,103,大同區,3表燈小計,**,"8,673","28,620,817",371477754
105,12,103,大同區,4低壓綜合裝置非營業用,*,0,0,0
105,12,103,大同區,5低壓綜合需量非營業用,428,"15,805","2,265,297",28457955
105,12,103,大同區,6低壓綜合非營業用電小計,**,"15,805","2,265,297",28457955
105,12,103,大同區,7低壓綜合裝置營業用,17,745,"77,282",1046986
