年度,月份,郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),售電度數(當年累計)
108,12,100,中正區,1表燈非營業用,"61,396","1,441","19,725,762",283733003
108,12,100,中正區,2表燈營業用,"9,972","21,643","15,660,637",194752479
108,12,100,中正區,3表燈小計,**,"23,084","35,386,399",478485482
108,12,100,中正區,4低壓綜合裝置非營業用,*,217,"18,686",249127
108,12,100,中正區,5低壓綜合需量非營業用,723,"30,381","4,146,040",56225312
108,12,100,中正區,6低壓綜合非營業用電小計,**,"30,598","4,164,726",56474439
108,12,100,中正區,7低壓綜合裝置營業用,23,971,"79,969",1196060
108,12,100,中正區,8低壓綜合需量營業用,907,"39,387","7,239,710",101991922
108,12,100,中正區,9低壓綜合營業用電小計,**,"40,358","7,319,679",103187982
108,12,100,中正區,10低壓綜合用電小計,**,"70,956","11,484,405",159662421
108,12,100,中正區,11低壓裝置電力,228,"2,406","161,881",2779161
108,12,100,中正區,12低壓需量電力,6,107,"4,994",108328
108,12,100,中正區,13低壓電力小計,**,"2,513","166,875",2887489
108,12,100,中正區,14高壓電力,297,"214,047","57,763,890",782868672
108,12,100,中正區,15特高壓電力,*,"13,040","5,295,100",65738619
108,12,100,中正區,16高＆特高壓電力小計,**,"227,087","63,058,990",848607291
108,12,100,中正區,17電力小計,**,"229,600","63,225,865",851494780
108,12,100,中正區,18綜合＆電力小計,**,"300,556","74,710,270",1011157201
108,12,100,中正區,19電燈＆綜合＆電力小計,**,"323,640","110,096,669",1489642683
108,12,100,中正區,20臨時電燈,14,0,"19,556",340659
108,12,100,中正區,21臨時電力,45,"3,134","672,995",10676094
108,12,100,中正區,22臨時用電小計,**,"3,134","692,551",11016753
108,12,100,中正區,23總計（含臨時用電）,**,"323,640","110,789,220",1500659436
108,12,100,中正區,24表燈合計,**,"23,084","35,405,955",478826141
108,12,100,中正區,25綜合＆電力合計,**,"300,556","75,383,265",1021833295
108,12,103,大同區,1表燈非營業用,"53,653",294,"13,808,907",220844712
108,12,103,大同區,2表燈營業用,"10,590","10,111","10,831,686",136551272
108,12,103,大同區,3表燈小計,**,"10,405","24,640,593",357395984
108,12,103,大同區,4低壓綜合裝置非營業用,*,0,0,0
108,12,103,大同區,5低壓綜合需量非營業用,475,"17,626","2,260,295",28004253
108,12,103,大同區,6低壓綜合非營業用電小計,**,"17,626","2,260,295",28004253
108,12,103,大同區,7低壓綜合裝置營業用,16,720,"63,662",944870
108,12,103,大同區,8低壓綜合需量營業用,443,"19,187","3,558,290",49471723
108,12,103,大同區,9低壓綜合營業用電小計,**,"19,907","3,621,952",50416593
108,12,103,大同區,10低壓綜合用電小計,**,"37,533","5,882,247",78420846
108,12,103,大同區,11低壓裝置電力,237,"2,133","108,770",1733346
108,12,103,大同區,12低壓需量電力,22,551,"48,836",650089
108,12,103,大同區,13低壓電力小計,**,"2,684","157,606",2383435
108,12,103,大同區,14高壓電力,86,"45,175","12,107,449",161794793
108,12,103,大同區,15特高壓電力,*,"23,771","12,498,800",155489340
108,12,103,大同區,16高＆特高壓電力小計,**,"68,946","24,606,249",317284133
108,12,103,大同區,17電力小計,**,"71,630","24,763,855",319667568
108,12,103,大同區,18綜合＆電力小計,**,"109,163","30,646,102",398088414
108,12,103,大同區,19電燈＆綜合＆電力小計,**,"119,568","55,286,695",755484398
108,12,103,大同區,20臨時電燈,11,0,"22,920",129331
108,12,103,大同區,21臨時電力,27,1878,"227,410",3053932
108,12,103,大同區,22臨時用電小計,**,1878,"250,330",3183263
108,12,103,大同區,23總計（含臨時用電）,**,"119,568","55,537,025",758667661
108,12,103,大同區,24表燈合計,**,"10,405","24,663,513",357525315
108,12,103,大同區,25綜合＆電力合計,**,"109,163","30,873,512",401142346
108,12,104,中山區,1表燈非營業用,"112,945","2,278","34,150,921",531556865
108,12,104,中山區,2表燈營業用,"21,107","48,083","35,869,554",442683168
108,12,104,中山區,3表燈小計,**,"50,361","70,020,475",974240033
108,12,104,中山區,4低壓綜合裝置非營業用,*,130,"7,968",108802
108,12,104,中山區,5低壓綜合需量非營業用,"1,291","48,180","6,781,281",91094539
108,12,104,中山區,6低壓綜合非營業用電小計,**,"48,310","6,789,249",91203341
108,12,104,中山區,7低壓綜合裝置營業用,39,"1,524","141,461",2089453
108,12,104,中山區,8低壓綜合需量營業用,"1,550","70,430","13,622,054",186418233
108,12,104,中山區,9低壓綜合營業用電小計,**,"71,954","13,763,515",188507686
108,12,104,中山區,10低壓綜合用電小計,**,"120,264","20,552,764",279711027
108,12,104,中山區,11低壓裝置電力,206,"2,424","144,225",2330611
108,12,104,中山區,12低壓需量電力,10,830,"142,945",1765501
108,12,104,中山區,13低壓電力小計,**,"3,254","287,170",4096112
108,12,104,中山區,14高壓電力,320,"209,744","53,789,028",725466324
108,12,104,中山區,15特高壓電力,*,"17,648","7,110,000",91993200
108,12,104,中山區,16高＆特高壓電力小計,**,"227,392","60,899,028",817459524
108,12,104,中山區,17電力小計,**,"230,646","61,186,198",821555636
108,12,104,中山區,18綜合＆電力小計,**,"350,910","81,738,962",1101266663
108,12,104,中山區,19電燈＆綜合＆電力小計,**,"401,271","151,759,437",2075506696
108,12,104,中山區,20臨時電燈,13,0,"64,885",421120
108,12,104,中山區,21臨時電力,34,"2,546","216,759",3083715
108,12,104,中山區,22臨時用電小計,**,"2,546","281,644",3504835
108,12,104,中山區,23總計（含臨時用電）,**,"401,271","152,041,081",2079011531
108,12,104,中山區,24表燈合計,**,"50,361","70,085,360",974661153
108,12,104,中山區,25綜合＆電力合計,**,"350,910","81,955,721",1104350378
108,12,105,松山區,1表燈非營業用,"73,412",895,"28,654,238",351544819
108,12,105,松山區,2表燈營業用,"11,948","22,634","22,296,347",249858426
108,12,105,松山區,3表燈小計,**,"23,529","50,950,585",601403245
108,12,105,松山區,4低壓綜合裝置非營業用,*,137,"5,983",77792
108,12,105,松山區,5低壓綜合需量非營業用,567,"22,164","3,340,851",43894375
108,12,105,松山區,6低壓綜合非營業用電小計,**,"22,301","3,346,834",43972167
108,12,105,松山區,7低壓綜合裝置營業用,*,154,"20,714",347646
108,12,105,松山區,8低壓綜合需量營業用,801,"38,511","7,757,181",104676523
108,12,105,松山區,9低壓綜合營業用電小計,**,"38,665","7,777,895",105024169
108,12,105,松山區,10低壓綜合用電小計,**,"60,966","11,124,729",148996336
108,12,105,松山區,11低壓裝置電力,59,539,"28,897",490802
108,12,105,松山區,12低壓需量電力,11,602,"94,760",1353238
108,12,105,松山區,13低壓電力小計,**,"1,141","123,657",1844040
108,12,105,松山區,14高壓電力,159,"120,355","30,830,006",437973904
108,12,105,松山區,15特高壓電力,*,"8,144","3,873,600",49273600
108,12,105,松山區,16高＆特高壓電力小計,**,"128,499","34,703,606",487247504
108,12,105,松山區,17電力小計,**,"129,640","34,827,263",489091544
108,12,105,松山區,18綜合＆電力小計,**,"190,606","45,951,992",638087880
108,12,105,松山區,19電燈＆綜合＆電力小計,**,"214,135","96,902,577",1239491125
108,12,105,松山區,20臨時電燈,8,0,33076,205310
108,12,105,松山區,21臨時電力,16,"2,347","312,040",2770922
108,12,105,松山區,22臨時用電小計,**,"2,347","345,116",2976232
108,12,105,松山區,23總計（含臨時用電）,**,"214,135","97,247,693",1242467357
108,12,105,松山區,24表燈合計,**,"23,529","50,983,661",601608555
108,12,105,松山區,25綜合＆電力合計,**,"190,606","46,264,032",640858802
108,12,106,大安區,1表燈非營業用,"111,566","2,231","30,412,176",579801145
108,12,106,大安區,2表燈營業用,"17,412","47,308","22,714,473",374982561
108,12,106,大安區,3表燈小計,**,"49,539","53,126,649",954783706
108,12,106,大安區,4低壓綜合裝置非營業用,6,235,"16,816",218347
108,12,106,大安區,5低壓綜合需量非營業用,"1,112","42,149","5,900,567",82053897
108,12,106,大安區,6低壓綜合非營業用電小計,**,"42,384","5,917,383",82272244
108,12,106,大安區,7低壓綜合裝置營業用,10,365,"73,426",1026855
108,12,106,大安區,8低壓綜合需量營業用,"1,442","61,061","10,999,272",158128016
108,12,106,大安區,9低壓綜合營業用電小計,**,"61,426","11,072,698",159154871
108,12,106,大安區,10低壓綜合用電小計,**,"103,810","16,990,081",241427115
108,12,106,大安區,11低壓裝置電力,119,"1,398","112,647",1716065
108,12,106,大安區,12低壓需量電力,*,308,"43,298",537124
108,12,106,大安區,13低壓電力小計,**,"1,706","155,945",2253189
108,12,106,大安區,14高壓電力,277,"204,791","56,631,816",752942684
108,12,106,大安區,15特高壓電力,*,"18,579","8,037,208",106780967
108,12,106,大安區,16高＆特高壓電力小計,**,"223,370","64,669,024",859723651
108,12,106,大安區,17電力小計,**,"225,076","64,824,969",861976840
108,12,106,大安區,18綜合＆電力小計,**,"328,886","81,815,050",1103403955
108,12,106,大安區,19電燈＆綜合＆電力小計,**,"378,425","134,941,699",2058187661
108,12,106,大安區,20臨時電燈,22,0,"26,370",245503
108,12,106,大安區,21臨時電力,31,"3,248","464,649",4954238
108,12,106,大安區,22臨時用電小計,**,"3,248","491,019",5199741
108,12,106,大安區,23總計（含臨時用電）,**,"378,425","135,432,718",2063387402
108,12,106,大安區,24表燈合計,**,"49,539","53,153,019",955029209
108,12,106,大安區,25綜合＆電力合計,**,"328,886","82,279,699",1108358193
