年度,月份,郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),售電度數(當年累計)
106,12,100,中正區,1表燈非營業用,"60,504","1,269","20,621,872",294116048
106,12,100,中正區,2表燈營業用,"9,927","19,840","16,680,769",197875366
106,12,100,中正區,3表燈小計,**,"21,109","37,302,641",491991414
106,12,100,中正區,4低壓綜合裝置非營業用,*,217,"20,307",237580
106,12,100,中正區,5低壓綜合需量非營業用,692,"29,720","4,444,925",57234978
106,12,100,中正區,6低壓綜合非營業用電小計,**,"29,937","4,465,232",57472558
106,12,100,中正區,7低壓綜合裝置營業用,25,1076,"100,933",1394323
106,12,100,中正區,8低壓綜合需量營業用,908,"39,032","8,017,535",102563855
106,12,100,中正區,9低壓綜合營業用電小計,**,"40,108","8,118,468",103958178
106,12,100,中正區,10低壓綜合用電小計,**,"70,045","12,583,700",161430736
106,12,100,中正區,11低壓裝置電力,239,"2,509","200,483",3072646
106,12,100,中正區,12低壓需量電力,6,107,"9,330",111250
106,12,100,中正區,13低壓電力小計,**,"2,616","209,813",3183896
106,12,100,中正區,14高壓電力,298,"218,249","56,125,165",794166607
106,12,100,中正區,15特高壓電力,*,"16,940","8,328,800",104164800
106,12,100,中正區,16高＆特高壓電力小計,**,"235,189","64,453,965",898331407
106,12,100,中正區,17電力小計,**,"237,805","64,663,778",901515303
106,12,100,中正區,18綜合＆電力小計,**,"307,850","77,247,478",1062946039
106,12,100,中正區,19電燈＆綜合＆電力小計,**,"328,959","114,550,119",1554937453
106,12,100,中正區,20臨時電燈,31,0,"46,509",645963
106,12,100,中正區,21臨時電力,24,"1,616","186,112",2327335
106,12,100,中正區,22臨時用電小計,**,"1,616","232,621",2973298
106,12,100,中正區,23總計（含臨時用電）,**,"328,959","114,782,740",1557910751
106,12,100,中正區,24表燈合計,**,"21,109","37,349,150",492637377
106,12,100,中正區,25綜合＆電力合計,**,"307,850","77,433,590",1065273374
106,12,103,大同區,1表燈非營業用,"53,158",345,"16,499,257",229013573
106,12,103,大同區,2表燈營業用,"10,622","9,613","11,947,310",139736390
106,12,103,大同區,3表燈小計,**,"9,958","28,446,567",368749963
106,12,103,大同區,4低壓綜合裝置非營業用,*,0,0,0
106,12,103,大同區,5低壓綜合需量非營業用,457,"16,901","2,168,921",27899330
106,12,103,大同區,6低壓綜合非營業用電小計,**,"16,901","2,168,921",27899330
106,12,103,大同區,7低壓綜合裝置營業用,16,720,"67,469",1032261
106,12,103,大同區,8低壓綜合需量營業用,457,"19,391","3,891,558",50277303
106,12,103,大同區,9低壓綜合營業用電小計,**,"20,111","3,959,027",51309564
106,12,103,大同區,10低壓綜合用電小計,**,"37,012","6,127,948",79208894
106,12,103,大同區,11低壓裝置電力,256,"2,296","123,435",2079560
106,12,103,大同區,12低壓需量電力,25,805,"85,981",1254434
106,12,103,大同區,13低壓電力小計,**,"3,101","209,416",3333994
106,12,103,大同區,14高壓電力,86,"45,061","11,608,688",159764223
106,12,103,大同區,15特高壓電力,*,"23,771","11,909,200",149567200
106,12,103,大同區,16高＆特高壓電力小計,**,"68,832","23,517,888",309331423
106,12,103,大同區,17電力小計,**,"71,933","23,727,304",312665417
106,12,103,大同區,18綜合＆電力小計,**,"108,945","29,855,252",391874311
106,12,103,大同區,19電燈＆綜合＆電力小計,**,"118,903","58,301,819",760624274
106,12,103,大同區,20臨時電燈,11,0,"33,544",286961
106,12,103,大同區,21臨時電力,15,982,"103,055",1432805
106,12,103,大同區,22臨時用電小計,**,982,"136,599",1719766
106,12,103,大同區,23總計（含臨時用電）,**,"118,903","58,438,418",762344040
106,12,103,大同區,24表燈合計,**,"9,958","28,480,111",369036924
106,12,103,大同區,25綜合＆電力合計,**,"108,945","29,958,307",393307116
106,12,104,中山區,1表燈非營業用,"111,595","1,900","38,089,397",545582147
106,12,104,中山區,2表燈營業用,"21,069","43,897","38,520,563",448522010
106,12,104,中山區,3表燈小計,**,"45,797","76,609,960",994104157
106,12,104,中山區,4低壓綜合裝置非營業用,*,130,"9,936",115285
106,12,104,中山區,5低壓綜合需量非營業用,"1,239","47,414","7,137,667",92192013
106,12,104,中山區,6低壓綜合非營業用電小計,**,"47,544","7,147,603",92307298
106,12,104,中山區,7低壓綜合裝置營業用,40,"1,622","173,375",2291348
106,12,104,中山區,8低壓綜合需量營業用,"1,576","72,191","14,949,635",192199832
106,12,104,中山區,9低壓綜合營業用電小計,**,"73,813","15,123,010",194491180
106,12,104,中山區,10低壓綜合用電小計,**,"121,357","22,270,613",286798478
106,12,104,中山區,11低壓裝置電力,216,"2,512","167,302",2536448
106,12,104,中山區,12低壓需量電力,8,642,"97,436",1222226
106,12,104,中山區,13低壓電力小計,**,"3,154","264,738",3758674
106,12,104,中山區,14高壓電力,317,"207,612","52,287,607",728576035
106,12,104,中山區,15特高壓電力,*,"18,692","7,007,200",93283600
106,12,104,中山區,16高＆特高壓電力小計,**,"226,304","59,294,807",821859635
106,12,104,中山區,17電力小計,**,"229,458","59,559,545",825618309
106,12,104,中山區,18綜合＆電力小計,**,"350,815","81,830,158",1112416787
106,12,104,中山區,19電燈＆綜合＆電力小計,**,"396,612","158,440,118",2106520944
106,12,104,中山區,20臨時電燈,33,0,"55,108",600775
106,12,104,中山區,21臨時電力,34,"2,178","262,235",2855916
106,12,104,中山區,22臨時用電小計,**,"2,178","317,343",3456691
106,12,104,中山區,23總計（含臨時用電）,**,"396,612","158,757,461",2109977635
106,12,104,中山區,24表燈合計,**,"45,797","76,665,068",994704932
106,12,104,中山區,25綜合＆電力合計,**,"350,815","82,092,393",1115272703
106,12,105,松山區,1表燈非營業用,"72,448",854,"30,900,231",368959683
106,12,105,松山區,2表燈營業用,"12,000","21,438","23,392,886",254850065
106,12,105,松山區,3表燈小計,**,"22,292","54,293,117",623809748
106,12,105,松山區,4低壓綜合裝置非營業用,*,137,"5,722",76517
106,12,105,松山區,5低壓綜合需量非營業用,555,"21,135","3,484,413",44300757
106,12,105,松山區,6低壓綜合非營業用電小計,**,"21,272","3,490,135",44377274
106,12,105,松山區,7低壓綜合裝置營業用,*,154,"17,982",297559
106,12,105,松山區,8低壓綜合需量營業用,819,"39,537","8,171,634",106643359
106,12,105,松山區,9低壓綜合營業用電小計,**,"39,691","8,189,616",106940918
106,12,105,松山區,10低壓綜合用電小計,**,"60,963","11,679,751",151318192
106,12,105,松山區,11低壓裝置電力,62,561,"32,421",510695
106,12,105,松山區,12低壓需量電力,12,652,"109,248",1517002
106,12,105,松山區,13低壓電力小計,**,"1,213","141,669",2027697
106,12,105,松山區,14高壓電力,160,"130,260","32,724,590",459376801
106,12,105,松山區,15特高壓電力,*,"8,144","3,848,000",48752000
106,12,105,松山區,16高＆特高壓電力小計,**,"138,404","36,572,590",508128801
106,12,105,松山區,17電力小計,**,"139,617","36,714,259",510156498
106,12,105,松山區,18綜合＆電力小計,**,"200,580","48,394,010",661474690
106,12,105,松山區,19電燈＆綜合＆電力小計,**,"222,872","102,687,127",1285284438
106,12,105,松山區,20臨時電燈,7,0,48642,217514
106,12,105,松山區,21臨時電力,13,935,"147,920",2075800
106,12,105,松山區,22臨時用電小計,**,935,"196,562",2293314
106,12,105,松山區,23總計（含臨時用電）,**,"222,872","102,883,689",1287577752
106,12,105,松山區,24表燈合計,**,"22,292","54,341,759",624027262
106,12,105,松山區,25綜合＆電力合計,**,"200,580","48,541,930",663550490
106,12,106,大安區,1表燈非營業用,"111,166","1,816","31,410,297",601616756
106,12,106,大安區,2表燈營業用,"17,452","44,753","23,773,450",381433767
106,12,106,大安區,3表燈小計,**,"46,569","55,183,747",983050523
106,12,106,大安區,4低壓綜合裝置非營業用,6,235,"14,021",164789
106,12,106,大安區,5低壓綜合需量非營業用,"1,089","41,331","6,275,442",83059509
106,12,106,大安區,6低壓綜合非營業用電小計,**,"41,566","6,289,463",83224298
106,12,106,大安區,7低壓綜合裝置營業用,11,398,"79,654",1076207
106,12,106,大安區,8低壓綜合需量營業用,"1,461","63,635","12,224,407",166376149
106,12,106,大安區,9低壓綜合營業用電小計,**,"64,033","12,304,061",167452356
106,12,106,大安區,10低壓綜合用電小計,**,"105,599","18,593,524",250676654
106,12,106,大安區,11低壓裝置電力,126,"1,467","116,897",1736955
106,12,106,大安區,12低壓需量電力,*,296,"50,993",593954
106,12,106,大安區,13低壓電力小計,**,"1,763","167,890",2330909
