年度,月份,郵遞區號,行政區,項目,用戶數(戶),契約容量(kW),售電度數(度)
114,01,100,中正區,1表燈非營業用,62913,1879,18266588
114,01,100,中正區,2表燈營業用,9804,23414,11668087
114,01,100,中正區,3表燈小計,**,25293,29934675
114,01,100,中正區,4低壓綜合裝置非營業用,*,172,9340
114,01,100,中正區,5低壓綜合需量非營業用,790,30694,4032309
114,01,100,中正區,6低壓電動車非營業用,*,40,1080
114,01,100,中正區,7低壓綜合非營業用電小計,**,30906,4042729
114,01,100,中正區,8低壓綜合裝置營業用,21,897,57152
114,01,100,中正區,9低壓綜合需量營業用,857,35942,5801965
114,01,100,中正區,10低壓電動車營業用,*,480,40400
114,01,100,中正區,11低壓綜合營業用電小計,**,37319,5899517
114,01,100,中正區,12低壓綜合用電小計,**,68225,9942246
114,01,100,中正區,13低壓裝置電力,202,2142,117205
114,01,100,中正區,14低壓需量電力,*,87,6235
114,01,100,中正區,15低壓電力小計,**,2229,123440
114,01,100,中正區,16高壓電力,300,205540,47306184
114,01,100,中正區,17高壓電動車,*,0,0
114,01,100,中正區,18特高壓電力,*,11800,3293727
114,01,100,中正區,19高＆特高壓電力小計,**,217340,50599911
114,01,100,中正區,20電力小計,**,219569,50723351
114,01,100,中正區,21綜合＆電力小計,**,287794,60665597
114,01,100,中正區,22電燈＆綜合＆電力小計,**,313087,90600272
114,01,100,中正區,23臨時電燈,27,0,23519
114,01,100,中正區,24臨時電力,47,3848,355000
114,01,100,中正區,25臨時用電小計,**,3848,378519
114,01,100,中正區,26總計（含臨時用電）,**,313087,90978791
114,01,100,中正區,27表燈合計,**,25293,29958194
114,01,100,中正區,28綜合＆電力合計,**,287794,61020597
114,01,103,大同區,1表燈非營業用,56609,547,15946829
114,01,103,大同區,2表燈營業用,9964,11765,8364307
114,01,103,大同區,3表燈小計,**,12312,24311136
114,01,103,大同區,4低壓綜合裝置非營業用,*,0,0
114,01,103,大同區,5低壓綜合需量非營業用,537,18937,2260206
114,01,103,大同區,6低壓電動車非營業用,*,98,1280
114,01,103,大同區,7低壓綜合非營業用電小計,**,19035,2261486
114,01,103,大同區,8低壓綜合裝置營業用,13,577,45601
114,01,103,大同區,9低壓綜合需量營業用,437,18721,2861379
114,01,103,大同區,10低壓電動車營業用,*,200,1680
114,01,103,大同區,11低壓綜合營業用電小計,**,19498,2908660
114,01,103,大同區,12低壓綜合用電小計,**,38533,5170146
114,01,103,大同區,13低壓裝置電力,198,1799,69700
114,01,103,大同區,14低壓需量電力,15,300,19317
114,01,103,大同區,15低壓電力小計,**,2099,89017
114,01,103,大同區,16高壓電力,81,43228,9026819
114,01,103,大同區,17高壓電動車,*,0,0
114,01,103,大同區,18特高壓電力,*,25500,11132800
114,01,103,大同區,19高＆特高壓電力小計,**,68728,20159619
114,01,103,大同區,20電力小計,**,70827,20248636
114,01,103,大同區,21綜合＆電力小計,**,109360,25418782
114,01,103,大同區,22電燈＆綜合＆電力小計,**,121672,49729918
114,01,103,大同區,23臨時電燈,23,0,6960
114,01,103,大同區,24臨時電力,40,2529,225541
114,01,103,大同區,25臨時用電小計,**,2529,232501
114,01,103,大同區,26總計（含臨時用電）,**,121672,49962419
114,01,103,大同區,27表燈合計,**,12312,24318096
114,01,103,大同區,28綜合＆電力合計,**,109360,25644323
114,01,104,中山區,1表燈非營業用,115018,3260,38581918
114,01,104,中山區,2表燈營業用,20472,49795,27031873
114,01,104,中山區,3表燈小計,**,53055,65613791
114,01,104,中山區,4低壓綜合裝置非營業用,*,130,1621
114,01,104,中山區,5低壓綜合需量非營業用,1379,49900,6434060
114,01,104,中山區,6低壓電動車非營業用,*,0,0
114,01,104,中山區,7低壓綜合非營業用電小計,**,50030,6435681
114,01,104,中山區,8低壓綜合裝置營業用,34,1336,102053
114,01,104,中山區,9低壓綜合需量營業用,1493,68576,11815233
114,01,104,中山區,10低壓電動車營業用,*,849,73920
114,01,104,中山區,11低壓綜合營業用電小計,**,70761,11991206
114,01,104,中山區,12低壓綜合用電小計,**,120791,18426887
114,01,104,中山區,13低壓裝置電力,181,2182,84036
114,01,104,中山區,14低壓需量電力,12,1283,126530
114,01,104,中山區,15低壓電力小計,**,3465,210566
114,01,104,中山區,16高壓電力,299,186239,40410250
114,01,104,中山區,17高壓電動車,*,403,28240
114,01,104,中山區,18特高壓電力,*,18350,6281200
114,01,104,中山區,19高＆特高壓電力小計,**,204992,46719690
114,01,104,中山區,20電力小計,**,208457,46930256
114,01,104,中山區,21綜合＆電力小計,**,329248,65357143
114,01,104,中山區,22電燈＆綜合＆電力小計,**,382303,130970934
114,01,104,中山區,23臨時電燈,19,0,19187
114,01,104,中山區,24臨時電力,85,6545,496144
114,01,104,中山區,25臨時用電小計,**,6545,515331
114,01,104,中山區,26總計（含臨時用電）,**,382303,131486265
114,01,104,中山區,27表燈合計,**,53055,65632978
114,01,104,中山區,28綜合＆電力合計,**,329248,65853287
114,01,105,松山區,1表燈非營業用,73859,1231,17501428
114,01,105,松山區,2表燈營業用,11534,24661,13414988
114,01,105,松山區,3表燈小計,**,25892,30916416
114,01,105,松山區,4低壓綜合裝置非營業用,*,92,4200
114,01,105,松山區,5低壓綜合需量非營業用,600,22111,3146086
114,01,105,松山區,6低壓電動車非營業用,*,0,0
114,01,105,松山區,7低壓綜合非營業用電小計,**,22203,3150286
114,01,105,松山區,8低壓綜合裝置營業用,*,154,13816
114,01,105,松山區,9低壓綜合需量營業用,764,35258,6042978
114,01,105,松山區,10低壓電動車營業用,*,84,0
114,01,105,松山區,11低壓綜合營業用電小計,**,35496,6056794
114,01,105,松山區,12低壓綜合用電小計,**,57699,9207080
114,01,105,松山區,13低壓裝置電力,52,475,26740
114,01,105,松山區,14低壓需量電力,8,261,42243
