年度,月份,郵遞區號,行政區,項目,用戶數(戶),契約容量(kW),售電度數(度)
113,01,100,中正區,1表燈非營業用,62724 ,1907 ,19812642 
113,01,100,中正區,2表燈營業用,9860 ,22773 ,13775453 
113,01,100,中正區,3表燈小計,**,24680 ,33588095 
113,01,100,中正區,4低壓綜合裝置非營業用,*,172 ,11926 
113,01,100,中正區,5低壓綜合需量非營業用,789 ,30930 ,4830654 
113,01,100,中正區,6低壓電動車非營業用,*,0 ,0 
113,01,100,中正區,7低壓綜合非營業用電小計,**,31102 ,4842580 
113,01,100,中正區,8低壓綜合裝置營業用,21 ,897 ,76112 
113,01,100,中正區,9低壓綜合需量營業用,868 ,36726 ,7257742 
113,01,100,中正區,10低壓電動車營業用,*,0 ,0 
113,01,100,中正區,11低壓綜合營業用電小計,**,37623 ,7333854 
113,01,100,中正區,12低壓綜合用電小計,**,68725 ,12176434 
113,01,100,中正區,13低壓裝置電力,206 ,2184 ,148820 
113,01,100,中正區,14低壓需量電力,*,87 ,5305 
113,01,100,中正區,15低壓電力小計,**,2271 ,154125 
113,01,100,中正區,16高壓電力,298 ,206909 ,51121380 
113,01,100,中正區,17高壓電動車,*,0 ,0 
113,01,100,中正區,18特高壓電力,*,12200 ,3106822 
113,01,100,中正區,19高＆特高壓電力小計,**,219109 ,54228202 
113,01,100,中正區,20電力小計,**,221380 ,54382327 
113,01,100,中正區,21綜合＆電力小計,**,290105 ,66558761 
113,01,100,中正區,22電燈＆綜合＆電力小計,**,314785 ,100146856 
113,01,100,中正區,23臨時電燈,21 ,0 ,15994 
113,01,100,中正區,24臨時電力,50 ,3606 ,356043 
113,01,100,中正區,25臨時用電小計,**,3606 ,372037 
113,01,100,中正區,26總計（含臨時用電）,**,314785 ,100518893 
113,01,100,中正區,27表燈合計,**,24680 ,33604089 
113,01,100,中正區,28綜合＆電力合計,**,290105 ,66914804 
113,01,103,大同區,1表燈非營業用,56320 ,548 ,18032342 
113,01,103,大同區,2表燈營業用,9974 ,11535 ,10020356 
113,01,103,大同區,3表燈小計,**,12083 ,28052698 
113,01,103,大同區,4低壓綜合裝置非營業用,*,0 ,0 
113,01,103,大同區,5低壓綜合需量非營業用,521 ,18464 ,2692240 
113,01,103,大同區,6低壓電動車非營業用,*,98 ,400 
113,01,103,大同區,7低壓綜合非營業用電小計,**,18562 ,2692640 
113,01,103,大同區,8低壓綜合裝置營業用,13 ,577 ,60894 
113,01,103,大同區,9低壓綜合需量營業用,438 ,18345 ,3574610 
113,01,103,大同區,10低壓電動車營業用,*,0 ,0 
113,01,103,大同區,11低壓綜合營業用電小計,**,18922 ,3635504 
113,01,103,大同區,12低壓綜合用電小計,**,37484 ,6328144 
113,01,103,大同區,13低壓裝置電力,202 ,1848 ,92497 
113,01,103,大同區,14低壓需量電力,18 ,340 ,22388 
113,01,103,大同區,15低壓電力小計,**,2188 ,114885 
113,01,103,大同區,16高壓電力,80 ,39963 ,9688708 
113,01,103,大同區,17高壓電動車,*,0 ,0 
113,01,103,大同區,18特高壓電力,*,23368 ,13163600 
113,01,103,大同區,19高＆特高壓電力小計,**,63331 ,22852308 
113,01,103,大同區,20電力小計,**,65519 ,22967193 
113,01,103,大同區,21綜合＆電力小計,**,103003 ,29295337 
113,01,103,大同區,22電燈＆綜合＆電力小計,**,115086 ,57348035 
113,01,103,大同區,23臨時電燈,22 ,0 ,10429 
113,01,103,大同區,24臨時電力,35 ,2977 ,232088 
113,01,103,大同區,25臨時用電小計,**,2977 ,242517 
113,01,103,大同區,26總計（含臨時用電）,**,115086 ,57590552 
113,01,103,大同區,27表燈合計,**,12083 ,28063127 
113,01,103,大同區,28綜合＆電力合計,**,103003 ,29527425 
113,01,104,中山區,1表燈非營業用,114336 ,3093 ,41605148 
113,01,104,中山區,2表燈營業用,20453 ,49636 ,31232662 
113,01,104,中山區,3表燈小計,**,52729 ,72837810 
113,01,104,中山區,4低壓綜合裝置非營業用,*,130 ,3192 
113,01,104,中山區,5低壓綜合需量非營業用,1355 ,48517 ,7317634 
113,01,104,中山區,6低壓電動車非營業用,*,0 ,0 
113,01,104,中山區,7低壓綜合非營業用電小計,**,48647 ,7320826 
113,01,104,中山區,8低壓綜合裝置營業用,34 ,1336 ,124682 
113,01,104,中山區,9低壓綜合需量營業用,1489 ,68146 ,14152382 
113,01,104,中山區,10低壓電動車營業用,*,599 ,40760 
113,01,104,中山區,11低壓綜合營業用電小計,**,70081 ,14317824 
113,01,104,中山區,12低壓綜合用電小計,**,118728 ,21638650 
113,01,104,中山區,13低壓裝置電力,185 ,2230 ,119222 
113,01,104,中山區,14低壓需量電力,10 ,918 ,136759 
113,01,104,中山區,15低壓電力小計,**,3148 ,255981 
113,01,104,中山區,16高壓電力,307 ,190947 ,44164823 
113,01,104,中山區,17高壓電動車,*,403 ,13200 
113,01,104,中山區,18特高壓電力,*,18341 ,6775600 
113,01,104,中山區,19高＆特高壓電力小計,**,209691 ,50953623 
113,01,104,中山區,20電力小計,**,212839 ,51209604 
113,01,104,中山區,21綜合＆電力小計,**,331567 ,72848254 
113,01,104,中山區,22電燈＆綜合＆電力小計,**,384296 ,145686064 
113,01,104,中山區,23臨時電燈,19 ,0 ,20846 
113,01,104,中山區,24臨時電力,78 ,5221 ,393195 
113,01,104,中山區,25臨時用電小計,**,5221 ,414041 
113,01,104,中山區,26總計（含臨時用電）,**,384296 ,146100105 
113,01,104,中山區,27表燈合計,**,52729 ,72858656 
113,01,104,中山區,28綜合＆電力合計,**,331567 ,73241449 
113,01,105,松山區,1表燈非營業用,73720 ,1138 ,18619540 
