年度,月份,郵遞區號,行政區,項目,用戶數(戶),契約容量(kW),售電度數(度)
113,01,105,松山區,2表燈營業用,11630 ,24292 ,15661754 
113,01,105,松山區,3表燈小計,**,25430 ,34281294 
113,01,105,松山區,4低壓綜合裝置非營業用,*,92 ,4840 
113,01,105,松山區,5低壓綜合需量非營業用,593 ,22052 ,3542100 
113,01,105,松山區,6低壓電動車非營業用,*,0 ,0 
113,01,105,松山區,7低壓綜合非營業用電小計,**,22144 ,3546940 
113,01,105,松山區,8低壓綜合裝置營業用,*,154 ,6789 
113,01,105,松山區,9低壓綜合需量營業用,775 ,35783 ,7413556 
113,01,105,松山區,10低壓電動車營業用,*,0 ,0 
113,01,105,松山區,11低壓綜合營業用電小計,**,35937 ,7420345 
113,01,105,松山區,12低壓綜合用電小計,**,58081 ,10967285 
113,01,105,松山區,13低壓裝置電力,52 ,475 ,33437 
113,01,105,松山區,14低壓需量電力,9 ,421 ,73552 
113,01,105,松山區,15低壓電力小計,**,896 ,106989 
113,01,105,松山區,16高壓電力,153 ,113360 ,24579508 
113,01,105,松山區,17高壓電動車,*,2400 ,270720 
113,01,105,松山區,18特高壓電力,*,8081 ,3508800 
113,01,105,松山區,19高＆特高壓電力小計,**,123841 ,28359028 
113,01,105,松山區,20電力小計,**,124737 ,28466017 
113,01,105,松山區,21綜合＆電力小計,**,182818 ,39433302 
113,01,105,松山區,22電燈＆綜合＆電力小計,**,208248 ,73714596 
113,01,105,松山區,23臨時電燈,11 ,0 ,12035 
113,01,105,松山區,24臨時電力,37 ,3038 ,315680 
113,01,105,松山區,25臨時用電小計,**,3038 ,327715 
113,01,105,松山區,26總計（含臨時用電）,**,208248 ,74042311 
113,01,105,松山區,27表燈合計,**,25430 ,34293329 
113,01,105,松山區,28綜合＆電力合計,**,182818 ,39748982 
113,01,106,大安區,1表燈非營業用,113062 ,2220 ,49116897 
113,01,106,大安區,2表燈營業用,17085 ,48300 ,30297599 
113,01,106,大安區,3表燈小計,**,50520 ,79414496 
113,01,106,大安區,4低壓綜合裝置非營業用,6 ,235 ,15121 
113,01,106,大安區,5低壓綜合需量非營業用,1193 ,44798 ,6824838 
113,01,106,大安區,6低壓電動車非營業用,*,30 ,1280 
113,01,106,大安區,7低壓綜合非營業用電小計,**,45063 ,6841239 
113,01,106,大安區,8低壓綜合裝置營業用,7 ,285 ,41594 
113,01,106,大安區,9低壓綜合需量營業用,1329 ,55935 ,10692985 
113,01,106,大安區,10低壓電動車營業用,*,939 ,56960 
113,01,106,大安區,11低壓綜合營業用電小計,**,57159 ,10791539 
113,01,106,大安區,12低壓綜合用電小計,**,102222 ,17632778 
113,01,106,大安區,13低壓裝置電力,105 ,1274 ,117081 
113,01,106,大安區,14低壓需量電力,*,249 ,40508 
113,01,106,大安區,15低壓電力小計,**,1523 ,157589 
113,01,106,大安區,16高壓電力,272 ,194983 ,49034496 
113,01,106,大安區,17高壓電動車,*,0 ,0 
113,01,106,大安區,18特高壓電力,*,20460 ,7887445 
113,01,106,大安區,19高＆特高壓電力小計,**,215443 ,56921941 
113,01,106,大安區,20電力小計,**,216966 ,57079530 
113,01,106,大安區,21綜合＆電力小計,**,319188 ,74712308 
113,01,106,大安區,22電燈＆綜合＆電力小計,**,369708 ,154126804 
113,01,106,大安區,23臨時電燈,35 ,0 ,21029 
113,01,106,大安區,24臨時電力,71 ,5152 ,445931 
113,01,106,大安區,25臨時用電小計,**,5152 ,466960 
113,01,106,大安區,26總計（含臨時用電）,**,369708 ,154593764 
113,01,106,大安區,27表燈合計,**,50520 ,79435525 
113,01,106,大安區,28綜合＆電力合計,**,319188 ,75158239 
113,01,108,萬華區,1表燈非營業用,80899 ,1258 ,21694770 
113,01,108,萬華區,2表燈營業用,8688 ,19075 ,11740646 
113,01,108,萬華區,3表燈小計,**,20333 ,33435416 
113,01,108,萬華區,4低壓綜合裝置非營業用,*,0 ,0 
113,01,108,萬華區,5低壓綜合需量非營業用,421 ,15291 ,2195784 
113,01,108,萬華區,6低壓電動車非營業用,*,0 ,0 
113,01,108,萬華區,7低壓綜合非營業用電小計,**,15291 ,2195784 
113,01,108,萬華區,8低壓綜合裝置營業用,27 ,1290 ,142960 
113,01,108,萬華區,9低壓綜合需量營業用,638 ,21660 ,4952648 
113,01,108,萬華區,10低壓電動車營業用,*,0 ,0 
113,01,108,萬華區,11低壓綜合營業用電小計,**,22950 ,5095608 
113,01,108,萬華區,12低壓綜合用電小計,**,38241 ,7291392 
113,01,108,萬華區,13低壓裝置電力,257 ,2644 ,179669 
113,01,108,萬華區,14低壓需量電力,29 ,801 ,194956 
113,01,108,萬華區,15低壓電力小計,**,3445 ,374625 
113,01,108,萬華區,16高壓電力,102 ,46833 ,11350262 
113,01,108,萬華區,17高壓電動車,*,0 ,0 
113,01,108,萬華區,18特高壓電力,*,0 ,0 
113,01,108,萬華區,19高＆特高壓電力小計,**,46833 ,11350262 
113,01,108,萬華區,20電力小計,**,50278 ,11724887 
113,01,108,萬華區,21綜合＆電力小計,**,88519 ,19016279 
113,01,108,萬華區,22電燈＆綜合＆電力小計,**,108852 ,52451695 
113,01,108,萬華區,23臨時電燈,14 ,0 ,24251 
113,01,108,萬華區,24臨時電力,36 ,3076 ,505905 
113,01,108,萬華區,25臨時用電小計,**,3076 ,530156 
113,01,108,萬華區,26總計（含臨時用電）,**,108852 ,52981851 
113,01,108,萬華區,27表燈合計,**,20333 ,33459667 
113,01,108,萬華區,28綜合＆電力合計,**,88519 ,19522184 
113,01,110,信義區,1表燈非營業用,86716 ,1211 ,37329017 
113,01,110,信義區,2表燈營業用,10005 ,18477 ,16893081 
113,01,110,信義區,3表燈小計,**,19688 ,54222098 
113,01,110,信義區,4低壓綜合裝置非營業用,*,0 ,0 
113,01,110,信義區,5低壓綜合需量非營業用,681 ,30301 ,4652966 
113,01,110,信義區,6低壓電動車非營業用,*,35 ,440 
113,01,110,信義區,7低壓綜合非營業用電小計,**,30336 ,4653406 
113,01,110,信義區,8低壓綜合裝置營業用,*,28 ,7107 
113,01,110,信義區,9低壓綜合需量營業用,531 ,23294 ,4822787 
113,01,110,信義區,10低壓電動車營業用,*,480 ,62240 
113,01,110,信義區,11低壓綜合營業用電小計,**,23802 ,4892134 
113,01,110,信義區,12低壓綜合用電小計,**,54138 ,9545540 
113,01,110,信義區,13低壓裝置電力,20 ,202 ,18883 
113,01,110,信義區,14低壓需量電力,*,655 ,127120 
113,01,110,信義區,15低壓電力小計,**,857 ,146003 
113,01,110,信義區,16高壓電力,150 ,215284 ,53625814 
113,01,110,信義區,17高壓電動車,*,0 ,0 
113,01,110,信義區,18特高壓電力,*,7155 ,2902400 
113,01,110,信義區,19高＆特高壓電力小計,**,222439 ,56528214 
113,01,110,信義區,20電力小計,**,223296 ,56674217 
113,01,110,信義區,21綜合＆電力小計,**,277434 ,66219757 
113,01,110,信義區,22電燈＆綜合＆電力小計,**,297122 ,120441855 
113,01,110,信義區,23臨時電燈,8 ,0 ,12934 
113,01,110,信義區,24臨時電力,38 ,2401 ,390720 
113,01,110,信義區,25臨時用電小計,**,2401 ,403654 
113,01,110,信義區,26總計（含臨時用電）,**,297122 ,120845509 
113,01,110,信義區,27表燈合計,**,19688 ,54235032 
113,01,110,信義區,28綜合＆電力合計,**,277434 ,66610477 
113,01,111,士林區,1表燈非營業用,108611 ,2548 ,39666414 
113,01,111,士林區,2表燈營業用,9472 ,24124 ,17298581 
113,01,111,士林區,3表燈小計,**,26672 ,56964995 
113,01,111,士林區,4低壓綜合裝置非營業用,*,0 ,0 
113,01,111,士林區,5低壓綜合需量非營業用,703 ,22435 ,3643154 
113,01,111,士林區,6低壓電動車非營業用,*,0 ,0 
113,01,111,士林區,7低壓綜合非營業用電小計,**,22435 ,3643154 
113,01,111,士林區,8低壓綜合裝置營業用,*,47 ,3763 
113,01,111,士林區,9低壓綜合需量營業用,731 ,25946 ,5071232 
113,01,111,士林區,10低壓電動車營業用,*,1280 ,34560 
113,01,111,士林區,11低壓綜合營業用電小計,**,27273 ,5109555 
113,01,111,士林區,12低壓綜合用電小計,**,49708 ,8752709 
113,01,111,士林區,13低壓裝置電力,92 ,1217 ,118789 
113,01,111,士林區,14低壓需量電力,122 ,7156 ,1047693 
113,01,111,士林區,15低壓電力小計,**,8373 ,1166482 
113,01,111,士林區,16高壓電力,148 ,99748 ,21935804 
113,01,111,士林區,17高壓電動車,*,1600 ,152600 
113,01,111,士林區,18特高壓電力,*,0 ,0 
113,01,111,士林區,19高＆特高壓電力小計,**,101348 ,22088404 
113,01,111,士林區,20電力小計,**,109721 ,23254886 
113,01,111,士林區,21綜合＆電力小計,**,159429 ,32007595 
113,01,111,士林區,22電燈＆綜合＆電力小計,**,186101 ,88972590 
113,01,111,士林區,23臨時電燈,44 ,0 ,18761 
113,01,111,士林區,24臨時電力,62 ,3402 ,301020 
113,01,111,士林區,25臨時用電小計,**,3402 ,319781 
113,01,111,士林區,26總計（含臨時用電）,**,186101 ,89292371 
113,01,111,士林區,27表燈合計,**,26672 ,56983756 
113,01,111,士林區,28綜合＆電力合計,**,159429 ,32308615 
113,01,112,北投區,1表燈非營業用,97271 ,1704 ,15993313 
113,01,112,北投區,2表燈營業用,5781 ,14493 ,6181968 
113,01,112,北投區,3表燈小計,**,16197 ,22175281 
113,01,112,北投區,4低壓綜合裝置非營業用,*,0 ,0 
113,01,112,北投區,5低壓綜合需量非營業用,766 ,23373 ,3311168 
113,01,112,北投區,6低壓電動車非營業用,*,49 ,160 
113,01,112,北投區,7低壓綜合非營業用電小計,**,23422 ,3311328 
113,01,112,北投區,8低壓綜合裝置營業用,*,70 ,8340 
113,01,112,北投區,9低壓綜合需量營業用,406 ,19227 ,4427720 
113,01,112,北投區,10低壓電動車營業用,*,649 ,25920 
113,01,112,北投區,11低壓綜合營業用電小計,**,19946 ,4461980 
113,01,112,北投區,12低壓綜合用電小計,**,43368 ,7773308 
113,01,112,北投區,13低壓裝置電力,53 ,664 ,76358 
113,01,112,北投區,14低壓需量電力,88 ,4981 ,728690 
113,01,112,北投區,15低壓電力小計,**,5645 ,805048 
113,01,112,北投區,16高壓電力,123 ,102497 ,29091620 
113,01,112,北投區,17高壓電動車,*,3000 ,475400 
113,01,112,北投區,18特高壓電力,*,9136 ,3772677 
113,01,112,北投區,19高＆特高壓電力小計,**,114633 ,33339697 
113,01,112,北投區,20電力小計,**,120278 ,34144745 
113,01,112,北投區,21綜合＆電力小計,**,163646 ,41918053 
113,01,112,北投區,22電燈＆綜合＆電力小計,**,179843 ,64093334 
113,01,112,北投區,23臨時電燈,47 ,0 ,44242 
113,01,112,北投區,24臨時電力,85 ,4968 ,672162 
113,01,112,北投區,25臨時用電小計,**,4968 ,716404 
113,01,112,北投區,26總計（含臨時用電）,**,179843 ,64809738 
113,01,112,北投區,27表燈合計,**,16197 ,22219523 
113,01,112,北投區,28綜合＆電力合計,**,163646 ,42590215 
113,01,114,內湖區,1表燈非營業用,108061 ,1511 ,36406913 
113,01,114,內湖區,2表燈營業用,13924 ,30538 ,40620286 
113,01,114,內湖區,3表燈小計,**,32049 ,77027199 
113,01,114,內湖區,4低壓綜合裝置非營業用,*,0 ,0 
113,01,114,內湖區,5低壓綜合需量非營業用,1272 ,51253 ,8339058 
113,01,114,內湖區,6低壓電動車非營業用,*,0 ,0 
113,01,114,內湖區,7低壓綜合非營業用電小計,**,51253 ,8339058 
113,01,114,內湖區,8低壓綜合裝置營業用,*,0 ,0 
113,01,114,內湖區,9低壓綜合需量營業用,1970 ,118623 ,25414963 
113,01,114,內湖區,10低壓電動車營業用,6 ,1687 ,121160 
113,01,114,內湖區,11低壓綜合營業用電小計,**,120310 ,25536123 
113,01,114,內湖區,12低壓綜合用電小計,**,171563 ,33875181 
113,01,114,內湖區,13低壓裝置電力,19 ,165 ,15853 
113,01,114,內湖區,14低壓需量電力,335 ,13811 ,2464570 
113,01,114,內湖區,15低壓電力小計,**,13976 ,2480423 
113,01,114,內湖區,16高壓電力,167 ,147339 ,45989978 
113,01,114,內湖區,17高壓電動車,*,720 ,107200 
113,01,114,內湖區,18特高壓電力,*,10176 ,4103600 
113,01,114,內湖區,19高＆特高壓電力小計,**,158235 ,50200778 
113,01,114,內湖區,20電力小計,**,172211 ,52681201 
113,01,114,內湖區,21綜合＆電力小計,**,343774 ,86556382 
113,01,114,內湖區,22電燈＆綜合＆電力小計,**,375823 ,163583581 
113,01,114,內湖區,23臨時電燈,25 ,0 ,33036 
113,01,114,內湖區,24臨時電力,57 ,3033 ,274210 
113,01,114,內湖區,25臨時用電小計,**,3033 ,307246 
113,01,114,內湖區,26總計（含臨時用電）,**,375823 ,163890827 
113,01,114,內湖區,27表燈合計,**,32049 ,77060235 
113,01,114,內湖區,28綜合＆電力合計,**,343774 ,86830592 
113,01,115,南港區,1表燈非營業用,46119 ,372 ,20649995 
113,01,115,南港區,2表燈營業用,4516 ,8837 ,9748163 
113,01,115,南港區,3表燈小計,**,9209 ,30398158 
113,01,115,南港區,4低壓綜合裝置非營業用,*,0 ,0 
113,01,115,南港區,5低壓綜合需量非營業用,408 ,14671 ,2288290 
113,01,115,南港區,6低壓電動車非營業用,*,30 ,246 
113,01,115,南港區,7低壓綜合非營業用電小計,**,14701 ,2288536 
113,01,115,南港區,8低壓綜合裝置營業用,*,0 ,0 
113,01,115,南港區,9低壓綜合需量營業用,268 ,12000 ,2545150 
113,01,115,南港區,10低壓電動車營業用,*,360 ,3960 
113,01,115,南港區,11低壓綜合營業用電小計,**,12360 ,2549110 
113,01,115,南港區,12低壓綜合用電小計,**,27061 ,4837646 
113,01,115,南港區,13低壓裝置電力,15 ,272 ,15000 
113,01,115,南港區,14低壓需量電力,126 ,3970 ,468984 
113,01,115,南港區,15低壓電力小計,**,4242 ,483984 
113,01,115,南港區,16高壓電力,99 ,117642 ,34707293 
113,01,115,南港區,17高壓電動車,*,1960 ,128760 
113,01,115,南港區,18特高壓電力,*,37758 ,13520020 
113,01,115,南港區,19高＆特高壓電力小計,**,157360 ,48356073 
113,01,115,南港區,20電力小計,**,161602 ,48840057 
113,01,115,南港區,21綜合＆電力小計,**,188663 ,53677703 
113,01,115,南港區,22電燈＆綜合＆電力小計,**,197872 ,84075861 
113,01,115,南港區,23臨時電燈,*,0 ,21799 
113,01,115,南港區,24臨時電力,49 ,5280 ,828480 
113,01,115,南港區,25臨時用電小計,**,5280 ,850279 
113,01,115,南港區,26總計（含臨時用電）,**,197872 ,84926140 
113,01,115,南港區,27表燈合計,**,9209 ,30419957 
113,01,115,南港區,28綜合＆電力合計,**,188663 ,54506183 
113,01,116,文山區,1表燈非營業用,104381 ,616 ,35296575 
113,01,116,文山區,2表燈營業用,4962 ,12678 ,7685588 
113,01,116,文山區,3表燈小計,**,13294 ,42982163 
113,01,116,文山區,4低壓綜合裝置非營業用,*,0 ,0 
113,01,116,文山區,5低壓綜合需量非營業用,926 ,28967 ,3945931 
113,01,116,文山區,6低壓電動車非營業用,*,0 ,0 
113,01,116,文山區,7低壓綜合非營業用電小計,**,28967 ,3945931 
113,01,116,文山區,8低壓綜合裝置營業用,*,74 ,6443 
113,01,116,文山區,9低壓綜合需量營業用,289 ,9365 ,2337526 
113,01,116,文山區,10低壓電動車營業用,*,1492 ,148480 
113,01,116,文山區,11低壓綜合營業用電小計,**,10931 ,2492449 
113,01,116,文山區,12低壓綜合用電小計,**,39898 ,6438380 
113,01,116,文山區,13低壓裝置電力,22 ,246 ,43949 
113,01,116,文山區,14低壓需量電力,28 ,1093 ,187084 
113,01,116,文山區,15低壓電力小計,**,1339 ,231033 
113,01,116,文山區,16高壓電力,98 ,46381 ,8503838 
113,01,116,文山區,17高壓電動車,*,2460 ,310720 
113,01,116,文山區,18特高壓電力,*,23572 ,8255198 
113,01,116,文山區,19高＆特高壓電力小計,**,72413 ,17069756 
113,01,116,文山區,20電力小計,**,73752 ,17300789 
113,01,116,文山區,21綜合＆電力小計,**,113650 ,23739169 
113,01,116,文山區,22電燈＆綜合＆電力小計,**,126944 ,66721332 
113,01,116,文山區,23臨時電燈,13 ,0 ,3824 
113,01,116,文山區,24臨時電力,36 ,2043 ,462322 
113,01,116,文山區,25臨時用電小計,**,2043 ,466146 
113,01,116,文山區,26總計（含臨時用電）,**,126944 ,67187478 
113,01,116,文山區,27表燈合計,**,13294 ,42985987 
113,01,116,文山區,28綜合＆電力合計,**,113650 ,24201491 
113,01,200,仁愛區,1表燈非營業用,23393 ,555 ,5176469 
113,01,200,仁愛區,2表燈營業用,3199 ,6286 ,3471943 
113,01,200,仁愛區,3表燈小計,**,6841 ,8648412 
113,01,200,仁愛區,4低壓綜合裝置非營業用,*,0 ,0 
113,01,200,仁愛區,5低壓綜合需量非營業用,140 ,3853 ,435232 
113,01,200,仁愛區,6低壓電動車非營業用,*,0 ,0 
113,01,200,仁愛區,7低壓綜合非營業用電小計,**,3853 ,435232 
113,01,200,仁愛區,8低壓綜合裝置營業用,*,86 ,7768 
113,01,200,仁愛區,9低壓綜合需量營業用,273 ,7934 ,1522250 
113,01,200,仁愛區,10低壓電動車營業用,*,21 ,120 
113,01,200,仁愛區,11低壓綜合營業用電小計,**,8041 ,1530138 
113,01,200,仁愛區,12低壓綜合用電小計,**,11894 ,1965370 
113,01,200,仁愛區,13低壓裝置電力,56 ,498 ,29437 
113,01,200,仁愛區,14低壓需量電力,16 ,525 ,124579 
113,01,200,仁愛區,15低壓電力小計,**,1023 ,154016 
113,01,200,仁愛區,16高壓電力,25 ,8260 ,1381898 
113,01,200,仁愛區,17高壓電動車,*,0 ,0 
113,01,200,仁愛區,18特高壓電力,*,0 ,0 
113,01,200,仁愛區,19高＆特高壓電力小計,**,8260 ,1381898 
113,01,200,仁愛區,20電力小計,**,9283 ,1535914 
113,01,200,仁愛區,21綜合＆電力小計,**,21177 ,3501284 
113,01,200,仁愛區,22電燈＆綜合＆電力小計,**,28018 ,12149696 
113,01,200,仁愛區,23臨時電燈,7 ,0 ,0 
113,01,200,仁愛區,24臨時電力,*,49 ,680 
113,01,200,仁愛區,25臨時用電小計,**,49 ,680 
113,01,200,仁愛區,26總計（含臨時用電）,**,28018 ,12150376 
113,01,200,仁愛區,27表燈合計,**,6841 ,8648412 
113,01,200,仁愛區,28綜合＆電力合計,**,21177 ,3501964 
113,01,201,信義區,1表燈非營業用,27496 ,388 ,14670907 
113,01,201,信義區,2表燈營業用,1203 ,2831 ,2431587 
113,01,201,信義區,3表燈小計,**,3219 ,17102494 
113,01,201,信義區,4低壓綜合裝置非營業用,*,0 ,0 
113,01,201,信義區,5低壓綜合需量非營業用,151 ,6282 ,966396 
113,01,201,信義區,6低壓電動車非營業用,*,0 ,0 
113,01,201,信義區,7低壓綜合非營業用電小計,**,6282 ,966396 
113,01,201,信義區,8低壓綜合裝置營業用,*,68 ,11160 
113,01,201,信義區,9低壓綜合需量營業用,48 ,2841 ,552717 
113,01,201,信義區,10低壓電動車營業用,*,0 ,0 
113,01,201,信義區,11低壓綜合營業用電小計,**,2909 ,563877 
113,01,201,信義區,12低壓綜合用電小計,**,9191 ,1530273 
113,01,201,信義區,13低壓裝置電力,6 ,117 ,32922 
113,01,201,信義區,14低壓需量電力,27 ,943 ,141620 
113,01,201,信義區,15低壓電力小計,**,1060 ,174542 
113,01,201,信義區,16高壓電力,32 ,11540 ,2373826 
113,01,201,信義區,17高壓電動車,*,0 ,0 
113,01,201,信義區,18特高壓電力,*,0 ,0 
113,01,201,信義區,19高＆特高壓電力小計,**,11540 ,2373826 
113,01,201,信義區,20電力小計,**,12600 ,2548368 
113,01,201,信義區,21綜合＆電力小計,**,21791 ,4078641 
113,01,201,信義區,22電燈＆綜合＆電力小計,**,25010 ,21181135 
113,01,201,信義區,23臨時電燈,12 ,0 ,4767 
113,01,201,信義區,24臨時電力,6 ,154 ,16760 
113,01,201,信義區,25臨時用電小計,**,154 ,21527 
113,01,201,信義區,26總計（含臨時用電）,**,25010 ,21202662 
113,01,201,信義區,27表燈合計,**,3219 ,17107261 
113,01,201,信義區,28綜合＆電力合計,**,21791 ,4095401 
113,01,202,中正區,1表燈非營業用,32624 ,396 ,16022266 
113,01,202,中正區,2表燈營業用,2130 ,4173 ,3799621 
113,01,202,中正區,3表燈小計,**,4569 ,19821887 
113,01,202,中正區,4低壓綜合裝置非營業用,*,0 ,0 
113,01,202,中正區,5低壓綜合需量非營業用,242 ,9919 ,1448143 
113,01,202,中正區,6低壓電動車非營業用,*,0 ,0 
113,01,202,中正區,7低壓綜合非營業用電小計,**,9919 ,1448143 
113,01,202,中正區,8低壓綜合裝置營業用,*,0 ,0 
113,01,202,中正區,9低壓綜合需量營業用,92 ,3103 ,671065 
113,01,202,中正區,10低壓電動車營業用,*,0 ,0 
113,01,202,中正區,11低壓綜合營業用電小計,**,3103 ,671065 
113,01,202,中正區,12低壓綜合用電小計,**,13022 ,2119208 
113,01,202,中正區,13低壓裝置電力,28 ,242 ,17476 
113,01,202,中正區,14低壓需量電力,39 ,1263 ,296759 
113,01,202,中正區,15低壓電力小計,**,1505 ,314235 
113,01,202,中正區,16高壓電力,36 ,21737 ,5420552 
113,01,202,中正區,17高壓電動車,*,0 ,0 
113,01,202,中正區,18特高壓電力,*,4500 ,906583 
113,01,202,中正區,19高＆特高壓電力小計,**,26237 ,6327135 
113,01,202,中正區,20電力小計,**,27742 ,6641370 
113,01,202,中正區,21綜合＆電力小計,**,40764 ,8760578 
113,01,202,中正區,22電燈＆綜合＆電力小計,**,45333 ,28582465 
113,01,202,中正區,23臨時電燈,12 ,0 ,12260 
113,01,202,中正區,24臨時電力,9 ,317 ,37200 
113,01,202,中正區,25臨時用電小計,**,317 ,49460 
113,01,202,中正區,26總計（含臨時用電）,**,45333 ,28631925 
113,01,202,中正區,27表燈合計,**,4569 ,19834147 
113,01,202,中正區,28綜合＆電力合計,**,40764 ,8797778 
113,01,203,中山區,1表燈非營業用,23500 ,123 ,191644 
113,01,203,中山區,2表燈營業用,1145 ,1921 ,751479 
113,01,203,中山區,3表燈小計,**,2044 ,943123 
113,01,203,中山區,4低壓綜合裝置非營業用,*,0 ,0 
113,01,203,中山區,5低壓綜合需量非營業用,98 ,3848 ,391088 
