年度,月份,郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),售電度數(當年累計)
110,12,100,中正區,1表燈非營業用　　　　,62186,1474,21322073,306879929
110,12,100,中正區,2表燈營業用　　　　　　,9874,22280,15556100,184567756
110,12,100,中正區,3表燈小計　　　　　　　,**,23754,36878173,491447685
110,12,100,中正區,4低壓綜合裝置非營業用　,*,217,18797,236918
110,12,100,中正區,5低壓綜合需量非營業用　,764,30974,4510701,56451176
110,12,100,中正區,6低壓綜合非營業用電小計,**,31191,4529498,56688094
110,12,100,中正區,7低壓綜合裝置營業用　　,23,971,76944,1003688
110,12,100,中正區,8低壓綜合需量營業用　　,897,38382,7034386,89650330
110,12,100,中正區,9低壓綜合營業用電小計　,**,39353,7111330,90654018
110,12,100,中正區,10低壓綜合用電小計　　　,**,70544,11640828,147342112
110,12,100,中正區,11低壓裝置電力　　　　　,214,2257,147575,2274661
110,12,100,中正區,12低壓需量電力　　　　　,*,87,5394,79893
110,12,100,中正區,13低壓電力小計　　　　　,**,2344,152969,2354554
110,12,100,中正區,14高壓電力　　　　　　　,301,213938,56462680,743556244
110,12,100,中正區,15特高壓電力　　　　　　,*,12200,5084300,62586200
110,12,100,中正區,16高＆特高壓電力小計　　,**,226138,61546980,806142444
110,12,100,中正區,17電力小計　　　　　　　,**,228482,61699949,808496998
110,12,100,中正區,18綜合＆電力小計　　　　,**,299026,73340777,955839110
110,12,100,中正區,19電燈＆綜合＆電力小計　,**,322780,110218950,1447286795
110,12,100,中正區,20臨時電燈　　　　　　　,14,0,24351,182661
110,12,100,中正區,21臨時電力　　　　　　　,37,4160,856831,10377600
110,12,100,中正區,22臨時用電小計　　　　　,**,4160,881182,10560261
110,12,100,中正區,23總計（含臨時用電）　　,**,322780,111100132,1457847056
110,12,100,中正區,24表燈合計　　　　　　　,**,23754,36902524,491630346
110,12,100,中正區,25綜合＆電力合計　　　　,**,299026,74197608,966216710
110,12,103,大同區,1表燈非營業用　　　　,54752,387,15802451,243749738
110,12,103,大同區,2表燈營業用　　　　　　,10357,10790,10779407,130492568
