年度,月份,郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),售電度數(當年累計)
109,12,100,中正區,1表燈非營業用　　　　,"61,877","1,479","19,550,980",293454878
109,12,100,中正區,2表燈營業用　　　　　　,"9,967","22,675","15,932,045",195316533
109,12,100,中正區,3表燈小計　　　　　　　,**,"24,154","35,483,025",488771411
109,12,100,中正區,4低壓綜合裝置非營業用　,*,217,"19,137",247819
109,12,100,中正區,5低壓綜合需量非營業用　,744,"30,354","4,291,198",56064299
109,12,100,中正區,6低壓綜合非營業用電小計,**,"30,571","4,310,335",56312118
109,12,100,中正區,7低壓綜合裝置營業用　　,23,971,"80,823",1098883
109,12,100,中正區,8低壓綜合需量營業用　　,911,"38,983","7,400,081",98167567
109,12,100,中正區,9低壓綜合營業用電小計　,**,"39,954","7,480,904",99266450
109,12,100,中正區,10低壓綜合用電小計　　　,**,"70,525","11,791,239",155578568
109,12,100,中正區,11低壓裝置電力　　　　　,218,"2,303","171,429",2624881
109,12,100,中正區,12低壓需量電力　　　　　,6,107,"5,346",89849
109,12,100,中正區,13低壓電力小計　　　　　,**,"2,410","176,775",2714730
109,12,100,中正區,14高壓電力　　　　　　　,302,"215,191","57,934,549",759156744
109,12,100,中正區,15特高壓電力　　　　　　,*,"12,200","5,274,300",65352100
109,12,100,中正區,16高＆特高壓電力小計　　,**,"227,391","63,208,849",824508844
109,12,100,中正區,17電力小計　　　　　　　,**,"229,801","63,385,624",827223574
109,12,100,中正區,18綜合＆電力小計　　　　,**,"300,326","75,176,863",982802142
109,12,100,中正區,19電燈＆綜合＆電力小計　,**,"324,480","110,659,888",1471573553
109,12,100,中正區,20臨時電燈　　　　　　　,13,0,"13,531",136630
109,12,100,中正區,21臨時電力　　　　　　　,40,"3,764","684,119",7965218
109,12,100,中正區,22臨時用電小計　　　　　,**,"3,764","697,650",8101848
109,12,100,中正區,23總計（含臨時用電）　　,**,"324,480","111,357,538",1479675401
109,12,100,中正區,24表燈合計　　　　　　　,**,"24,154","35,496,556",488908041
109,12,100,中正區,25綜合＆電力合計　　　　,**,"300,326","75,860,982",990767360
109,12,103,大同區,1表燈非營業用　　　　,"53,905",364,"14,046,551",229749229
109,12,103,大同區,2表燈營業用　　　　　　,"10,432","10,803","10,859,332",135612865
109,12,103,大同區,3表燈小計　　　　　　　,**,"11,167","24,905,883",365362094
109,12,103,大同區,4低壓綜合裝置非營業用　,*,0,0,0
109,12,103,大同區,5低壓綜合需量非營業用　,475,"17,785","2,273,773",28757704
109,12,103,大同區,6低壓綜合非營業用電小計,**,"17,785","2,273,773",28757704
109,12,103,大同區,7低壓綜合裝置營業用　　,15,697,"59,873",885510
109,12,103,大同區,8低壓綜合需量營業用　　,452,"19,342","3,469,845",45323734
109,12,103,大同區,9低壓綜合營業用電小計　,**,"20,039","3,529,718",46209244
109,12,103,大同區,10低壓綜合用電小計　　　,**,"37,824","5,803,491",74966948
109,12,103,大同區,11低壓裝置電力　　　　　,230,"2,081","106,528",1654942
109,12,103,大同區,12低壓需量電力　　　　　,22,524,"47,562",648418
109,12,103,大同區,13低壓電力小計　　　　　,**,"2,605","154,090",2303360
109,12,103,大同區,14高壓電力　　　　　　　,83,"41,099","10,985,233",155260435
109,12,103,大同區,15特高壓電力　　　　　　,*,"23,771","12,588,000",155879000
109,12,103,大同區,16高＆特高壓電力小計　　,**,"64,870","23,573,233",311139435
109,12,103,大同區,17電力小計　　　　　　　,**,"67,475","23,727,323",313442795
109,12,103,大同區,18綜合＆電力小計　　　　,**,"105,299","29,530,814",388409743
109,12,103,大同區,19電燈＆綜合＆電力小計　,**,"116,466","54,436,697",753771837
109,12,103,大同區,20臨時電燈　　　　　　　,11,0,"30,514",222872
109,12,103,大同區,21臨時電力　　　　　　　,29,2604,"328,757",3909892
109,12,103,大同區,22臨時用電小計　　　　　,**,2604,"359,271",4132764
109,12,103,大同區,23總計（含臨時用電）　　,**,"116,466","54,795,968",757904601
109,12,103,大同區,24表燈合計　　　　　　　,**,"11,167","24,936,397",365584966
109,12,103,大同區,25綜合＆電力合計　　　　,**,"105,299","29,859,571",392319635
109,12,104,中山區,1表燈非營業用　　　　,"113,212","2,272","33,827,645",554011803
109,12,104,中山區,2表燈營業用　　　　　　,"20,950","48,762","35,293,292",430471351
109,12,104,中山區,3表燈小計　　　　　　　,**,"51,034","69,120,937",984483154
109,12,104,中山區,4低壓綜合裝置非營業用　,*,130,"8,156",100459
109,12,104,中山區,5低壓綜合需量非營業用　,"1,294","47,582","6,901,472",91115964
109,12,104,中山區,6低壓綜合非營業用電小計,**,"47,712","6,909,628",91216423
109,12,104,中山區,7低壓綜合裝置營業用　　,38,"1,468","141,214",1987036
109,12,104,中山區,8低壓綜合需量營業用　　,"1,541","69,412","13,986,791",180045625
109,12,104,中山區,9低壓綜合營業用電小計　,**,"70,880","14,128,005",182032661
109,12,104,中山區,10低壓綜合用電小計　　　,**,"118,592","21,037,633",273249084
109,12,104,中山區,11低壓裝置電力　　　　　,203,"2,400","147,078",2124072
109,12,104,中山區,12低壓需量電力　　　　　,10,941,"151,744",1896213
109,12,104,中山區,13低壓電力小計　　　　　,**,"3,341","298,822",4020285
109,12,104,中山區,14高壓電力　　　　　　　,317,"205,460","52,061,011",694590972
109,12,104,中山區,15特高壓電力　　　　　　,*,"16,948","7,127,200",91656000
109,12,104,中山區,16高＆特高壓電力小計　　,**,"222,408","59,188,211",786246972
109,12,104,中山區,17電力小計　　　　　　　,**,"225,749","59,487,033",790267257
109,12,104,中山區,18綜合＆電力小計　　　　,**,"344,341","80,524,666",1063516341
109,12,104,中山區,19電燈＆綜合＆電力小計　,**,"395,375","149,645,603",2047999495
109,12,104,中山區,20臨時電燈　　　　　　　,13,0,"24,100",187875
109,12,104,中山區,21臨時電力　　　　　　　,42,"3,013","417,408",3595313
109,12,104,中山區,22臨時用電小計　　　　　,**,"3,013","441,508",3783188
109,12,104,中山區,23總計（含臨時用電）　　,**,"395,375","150,087,111",2051782683
109,12,104,中山區,24表燈合計　　　　　　　,**,"51,034","69,145,037",984671029
109,12,104,中山區,25綜合＆電力合計　　　　,**,"344,341","80,942,074",1067111654
109,12,105,松山區,1表燈非營業用　　　　,"73,447",1185,"28,508,902",365658552
109,12,105,松山區,2表燈營業用　　　　　　,"11,871","23,095","22,200,723",249211422
109,12,105,松山區,3表燈小計　　　　　　　,**,"24,280","50,709,625",614869974
109,12,105,松山區,4低壓綜合裝置非營業用　,*,137,"6,116",76569
109,12,105,松山區,5低壓綜合需量非營業用　,565,"22,709","3,391,437",43518690
109,12,105,松山區,6低壓綜合非營業用電小計,**,"22,846","3,397,553",43595259
109,12,105,松山區,7低壓綜合裝置營業用　　,*,154,"19,537",317126
109,12,105,松山區,8低壓綜合需量營業用　　,794,"37,759","7,809,826",101549953
109,12,105,松山區,9低壓綜合營業用電小計　,**,"37,913","7,829,363",101867079
109,12,105,松山區,10低壓綜合用電小計　　　,**,"60,759","11,226,916",145462338
109,12,105,松山區,11低壓裝置電力　　　　　,59,539,"39,764",513667
109,12,105,松山區,12低壓需量電力　　　　　,11,573,"96,267",1288576
109,12,105,松山區,13低壓電力小計　　　　　,**,"1,112","136,031",1802243
109,12,105,松山區,14高壓電力　　　　　　　,153,"113,559","28,544,241",389121936
109,12,105,松山區,15特高壓電力　　　　　　,*,"8,144","4,100,800",49942400
109,12,105,松山區,16高＆特高壓電力小計　　,**,"121,703","32,645,041",439064336
109,12,105,松山區,17電力小計　　　　　　　,**,"122,815","32,781,072",440866579
109,12,105,松山區,18綜合＆電力小計　　　　,**,"183,574","44,007,988",586328917
109,12,105,松山區,19電燈＆綜合＆電力小計　,**,"207,854","94,717,613",1201198891
109,12,105,松山區,20臨時電燈　　　　　　　,7,0,13480,213329
109,12,105,松山區,21臨時電力　　　　　　　,17,"1,768","252,640",2727407
109,12,105,松山區,22臨時用電小計　　　　　,**,"1,768","266,120",2940736
109,12,105,松山區,23總計（含臨時用電）　　,**,"207,854","94,983,733",1204139627
109,12,105,松山區,24表燈合計　　　　　　　,**,"24,280","50,723,105",615083303
109,12,105,松山區,25綜合＆電力合計　　　　,**,"183,574","44,260,628",589056324
109,12,106,大安區,1表燈非營業用　　　　,"112,102","2,237","30,657,678",601513715
109,12,106,大安區,2表燈營業用　　　　　　,"17,440","48,147","23,448,579",370547878
109,12,106,大安區,3表燈小計　　　　　　　,**,"50,384","54,106,257",972061593
109,12,106,大安區,4低壓綜合裝置非營業用　,6,235,"17,995",204804
109,12,106,大安區,5低壓綜合需量非營業用　,"1,157","43,680","6,260,049",82773505
109,12,106,大安區,6低壓綜合非營業用電小計,**,"43,915","6,278,044",82978309
109,12,106,大安區,7低壓綜合裝置營業用　　,10,365,"38,382",800258
109,12,106,大安區,8低壓綜合需量營業用　　,"1,414","58,847","11,122,492",152509296
109,12,106,大安區,9低壓綜合營業用電小計　,**,"59,212","11,160,874",153309554
109,12,106,大安區,10低壓綜合用電小計　　　,**,"103,127","17,438,918",236287863
109,12,106,大安區,11低壓裝置電力　　　　　,116,"1,380","124,895",1759796
109,12,106,大安區,12低壓需量電力　　　　　,*,308,"43,960",539477
109,12,106,大安區,13低壓電力小計　　　　　,**,"1,688","168,855",2299273
109,12,106,大安區,14高壓電力　　　　　　　,278,"199,828","54,646,383",742959664
109,12,106,大安區,15特高壓電力　　　　　　,*,"18,326","8,720,269",106272694
109,12,106,大安區,16高＆特高壓電力小計　　,**,"218,154","63,366,652",849232358
109,12,106,大安區,17電力小計　　　　　　　,**,"219,842","63,535,507",851531631
109,12,106,大安區,18綜合＆電力小計　　　　,**,"322,969","80,974,425",1087819494
109,12,106,大安區,19電燈＆綜合＆電力小計　,**,"373,353","135,080,682",2059881087
109,12,106,大安區,20臨時電燈　　　　　　　,25,0,"33,761",320129
109,12,106,大安區,21臨時電力　　　　　　　,32,"2,975","388,760",6161210
109,12,106,大安區,22臨時用電小計　　　　　,**,"2,975","422,521",6481339
109,12,106,大安區,23總計（含臨時用電）　　,**,"373,353","135,503,203",2066362426
109,12,106,大安區,24表燈合計　　　　　　　,**,"50,384","54,140,018",972381722
109,12,106,大安區,25綜合＆電力合計　　　　,**,"322,969","81,363,185",1093980704
109,12,108,萬華區,1表燈非營業用　　　　,"79,427","1,185","21,236,630",325754869
109,12,108,萬華區,2表燈營業用　　　　　　,"9,101","18,840","10,710,074",147603785
109,12,108,萬華區,3表燈小計　　　　　　　,**,"20,025","31,946,704",473358654
109,12,108,萬華區,4低壓綜合裝置非營業用　,*,0,0,0
109,12,108,萬華區,5低壓綜合需量非營業用　,385,"14,422","1,928,258",25629898
109,12,108,萬華區,6低壓綜合非營業用電小計,**,"14,422","1,928,258",25629898
109,12,108,萬華區,7低壓綜合裝置營業用　　,31,"1,462","151,930",2239369
109,12,108,萬華區,8低壓綜合需量營業用　　,668,"21,828","4,470,382",61141844
109,12,108,萬華區,9低壓綜合營業用電小計　,**,"23,290","4,622,312",63381213
109,12,108,萬華區,10低壓綜合用電小計　　　,**,"37,712","6,550,570",89011111
109,12,108,萬華區,11低壓裝置電力　　　　　,271,"2,795","211,682",3319057
109,12,108,萬華區,12低壓需量電力　　　　　,34,876,"194,549",2405129
109,12,108,萬華區,13低壓電力小計　　　　　,**,"3,671","406,231",5724186
109,12,108,萬華區,14高壓電力　　　　　　　,109,"46,176","11,810,992",160341093
109,12,108,萬華區,15特高壓電力　　　　　　,*,0,0,0
109,12,108,萬華區,16高＆特高壓電力小計　　,**,"46,176","11,810,992",160341093
109,12,108,萬華區,17電力小計　　　　　　　,**,"49,847","12,217,223",166065279
109,12,108,萬華區,18綜合＆電力小計　　　　,**,"87,559","18,767,793",255076390
109,12,108,萬華區,19電燈＆綜合＆電力小計　,**,"107,584","50,714,497",728435044
109,12,108,萬華區,20臨時電燈　　　　　　　,11,0,"25,973",432919
109,12,108,萬華區,21臨時電力　　　　　　　,23,"2,533","334,089",2919399
109,12,108,萬華區,22臨時用電小計　　　　　,**,"2,533","360,062",3352318
109,12,108,萬華區,23總計（含臨時用電）　　,**,"107,584","51,074,559",731787362
109,12,108,萬華區,24表燈合計　　　　　　　,**,"20,025","31,972,677",473791573
109,12,108,萬華區,25綜合＆電力合計　　　　,**,"87,559","19,101,882",257995789
109,12,110,信義區,1表燈非營業用　　　　,"84,829",1039,"18,362,485",414214568
109,12,110,信義區,2表燈營業用　　　　　　,"10,246","16,758","10,610,765",182991992
109,12,110,信義區,3表燈小計　　　　　　　,**,"17,797","28,973,250",597206560
109,12,110,信義區,4低壓綜合裝置非營業用　,*,0,0,0
109,12,110,信義區,5低壓綜合需量非營業用　,601,"25,836","3,872,861",53001059
109,12,110,信義區,6低壓綜合非營業用電小計,**,"25,836","3,872,861",53001059
109,12,110,信義區,7低壓綜合裝置營業用　　,*,28,"9,306",127739
109,12,110,信義區,8低壓綜合需量營業用　　,538,"23,981","4,801,530",64471915
109,12,110,信義區,9低壓綜合營業用電小計　,**,"24,009","4,810,836",64599654
109,12,110,信義區,10低壓綜合用電小計　　　,**,"49,845","8,683,697",117600713
109,12,110,信義區,11低壓裝置電力　　　　　,21,217,"19,948",365499
109,12,110,信義區,12低壓需量電力　　　　　,*,680,"138,080",1782280
109,12,110,信義區,13低壓電力小計　　　　　,**,897,"158,028",2147779
109,12,110,信義區,14高壓電力　　　　　　　,145,"197,276","58,709,135",785868632
109,12,110,信義區,15特高壓電力　　　　　　,*,"6,434","3,179,200",39742400
109,12,110,信義區,16高＆特高壓電力小計　　,**,"203,710","61,888,335",825611032
109,12,110,信義區,17電力小計　　　　　　　,**,"204,607","62,046,363",827758811
109,12,110,信義區,18綜合＆電力小計　　　　,**,"254,452","70,730,060",945359524
109,12,110,信義區,19電燈＆綜合＆電力小計　,**,"272,249","99,703,310",1542566084
109,12,110,信義區,20臨時電燈　　　　　　　,6,0,"2,783",119400
109,12,110,信義區,21臨時電力　　　　　　　,37,"4,514","701,963",8390637
109,12,110,信義區,22臨時用電小計　　　　　,**,"4,514","704,746",8510037
109,12,110,信義區,23總計（含臨時用電）　　,**,"272,249","100,408,056",1551076121
109,12,110,信義區,24表燈合計　　　　　　　,**,"17,797","28,976,033",597325960
109,12,110,信義區,25綜合＆電力合計　　　　,**,"254,452","71,432,023",953750161
109,12,111,士林區,1表燈非營業用　　　　,"108,295","2,220","33,352,728",541738110
109,12,111,士林區,2表燈營業用　　　　　　,"9,666","23,298","11,936,452",187788797
109,12,111,士林區,3表燈小計　　　　　　　,**,"25,518","45,289,180",729526907
109,12,111,士林區,4低壓綜合裝置非營業用　,*,0,0,0
109,12,111,士林區,5低壓綜合需量非營業用　,679,"22,362","3,267,697",43450865
109,12,111,士林區,6低壓綜合非營業用電小計,**,"22,362","3,267,697",43450865
109,12,111,士林區,7低壓綜合裝置營業用　　,*,47,"7,479",93897
109,12,111,士林區,8低壓綜合需量營業用　　,761,"26,723","5,115,421",69278338
109,12,111,士林區,9低壓綜合營業用電小計　,**,"26,770","5,122,900",69372235
109,12,111,士林區,10低壓綜合用電小計　　　,**,"49,132","8,390,597",112823100
109,12,111,士林區,11低壓裝置電力　　　　　,99,"1,286","125,064",1901754
109,12,111,士林區,12低壓需量電力　　　　　,122,"7,028","975,277",12616094
109,12,111,士林區,13低壓電力小計　　　　　,**,"8,314","1,100,341",14517848
109,12,111,士林區,14高壓電力　　　　　　　,146,"96,580","24,010,142",319939505
109,12,111,士林區,15特高壓電力　　　　　　,*,0,0,0
109,12,111,士林區,16高＆特高壓電力小計　　,**,"96,580","24,010,142",319939505
109,12,111,士林區,17電力小計　　　　　　　,**,"104,894","25,110,483",334457353
109,12,111,士林區,18綜合＆電力小計　　　　,**,"154,026","33,501,080",447280453
109,12,111,士林區,19電燈＆綜合＆電力小計　,**,"179,544","78,790,260",1176807360
109,12,111,士林區,20臨時電燈　　　　　　　,44,0,"36,837",386898
109,12,111,士林區,21臨時電力　　　　　　　,38,"2,160","264,690",3027790
109,12,111,士林區,22臨時用電小計　　　　　,**,"2,160","301,527",3414688
109,12,111,士林區,23總計（含臨時用電）　　,**,"179,544","79,091,787",1180222048
