統計期,總計,,汽車,,大客車,,大客車 /自用,,大客車 /營業,,大客車 /營業 /遊覽車,,大客車 /營業 /營業(不含遊覽車),,大貨車,,大貨車 /自用,,大貨車 /營業,,小客車,,小客車 /自用,,小客車 /營業,,小客車 /營業 /租賃,,小客車 /營業 /計程車,,小客車 /營業 /其他營業小客車,,小貨車,,小貨車 /自用,,小貨車 /營業,,小貨車 /營業 /租賃,,小貨車 /營業 /營業(不含租賃),,特種車,,警備車,,救護車,,消防車,,郵車,,其他,,機車,,機車重型,,大型重型,,大型重型550cc以上,,大型重型未滿550cc,,普通重型,,機車輕型,,小型輕型,,普通輕型,
,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市
113年 10月底,"132,716","111,241","11,913","22,474",625,389,4,2,621,387,-,-,621,387,1,-,1,-,-,-,"11,235","21,981","10,868","11,233",367,"10,748",150,"10,082",217,666,-,-,35,75,29,37,6,38,-,23,6,15,17,29,-,-,-,-,-,-,16,23,1,6,"120,803","88,767","98,891","60,017",5,6,-,-,5,6,"98,886","60,011","21,912","28,750",198,72,"21,714","28,678"
113年 11月底,"134,246","112,111","12,420","22,901",665,389,4,2,661,387,-,-,661,387,1,-,1,-,-,-,"11,699","22,398","11,316","11,522",383,"10,876",153,"10,155",230,721,-,-,38,83,29,39,9,44,-,26,9,18,17,31,-,-,-,-,-,-,16,23,1,8,"121,826","89,210","99,395","60,173",4,6,-,-,4,6,"99,391","60,167","22,431","29,037",198,71,"22,233","28,966"
113年 12月底,"135,599","113,863","12,938","23,581",688,389,4,2,684,387,-,-,684,387,1,-,1,-,-,-,"12,182","23,076","11,773","11,950",409,"11,126",160,"10,329",249,797,-,-,50,85,41,41,9,44,-,27,9,17,17,31,-,-,-,-,-,-,16,23,1,8,"122,661","90,282","100,116","60,918",4,6,-,-,4,6,"100,112","60,912","22,545","29,364",199,68,"22,346","29,296"
114年底,"146,740","119,420","17,535","28,711",919,800,7,2,912,798,3,7,909,791,3,5,3,1,-,4,"16,535","27,725","15,913","14,958",622,"12,767",196,"11,560",426,"1,207",-,-,61,146,49,51,12,95,-,63,12,32,17,35,-,-,-,-,-,-,16,23,1,12,"129,205","90,709","104,810","61,981",4,7,-,-,4,7,"104,806","61,974","24,395","28,728",196,62,"24,199","28,666"
114年 1月底,"136,226","114,198","13,208","23,930",715,389,4,2,711,387,-,-,711,387,3,-,3,-,-,-,"12,423","23,425","11,990","12,114",433,"11,311",164,"10,485",269,826,-,-,50,85,41,41,9,44,-,27,9,17,17,31,-,-,-,-,-,-,16,23,1,8,"123,018","90,268","100,361","60,930",4,6,-,-,4,6,"100,357","60,924","22,657","29,338",200,67,"22,457","29,271"
114年 2月底,"136,823","114,463","13,461","24,239",722,389,4,2,718,387,3,-,715,387,3,-,3,-,-,-,"12,669","23,734","12,220","12,249",449,"11,485",168,"10,623",281,862,-,-,50,85,41,41,9,44,-,27,9,17,17,31,-,-,-,-,-,-,16,23,1,8,"123,362","90,224","100,643","61,245",4,6,-,-,4,6,"100,639","61,239","22,719","28,979",199,66,"22,520","28,913"
114年 3月底,"137,597","114,492","13,835","24,615",722,422,4,2,718,420,3,-,715,420,3,-,3,-,-,-,"13,042","24,078","12,576","12,494",466,"11,584",167,"10,686",299,898,-,-,51,84,42,41,9,43,-,26,9,17,17,31,-,-,-,-,-,-,16,23,1,8,"123,762","89,877","101,091","60,883",4,6,-,-,4,6,"101,087","60,877","22,671","28,994",199,66,"22,472","28,928"
114年 4月底,"138,055","114,909","13,948","24,839",722,460,4,2,718,458,3,-,715,458,3,-,3,-,-,-,"13,155","24,263","12,670","12,615",485,"11,648",171,"10,692",314,956,-,-,51,85,41,41,10,44,-,27,10,17,17,31,-,-,-,-,-,-,16,23,1,8,"124,107","90,070","101,367","60,793",4,6,-,-,4,6,"101,363","60,787","22,740","29,277",199,66,"22,541","29,211"
114年 5月底,"138,633","115,400","14,170","25,038",722,504,4,2,718,502,3,-,715,502,3,-,3,-,-,-,"13,375","24,411","12,876","12,742",499,"11,669",167,"10,680",332,989,-,-,53,93,43,41,10,52,-,29,10,23,17,30,-,-,-,-,-,-,16,23,1,7,"124,463","90,362","101,760","60,630",4,6,-,-,4,6,"101,756","60,624","22,703","29,732",199,65,"22,504","29,667"
114年 6月底,"139,480","116,644","14,477","25,645",722,542,4,2,718,540,3,1,715,539,3,-,3,-,-,-,"13,681","24,976","13,165","13,060",516,"11,916",172,"10,883",344,"1,033",-,-,54,96,44,42,10,54,-,31,10,23,17,31,-,-,-,-,-,-,16,23,1,8,"125,003","90,999","102,135","61,158",4,6,-,-,4,6,"102,131","61,152","22,868","29,841",199,65,"22,669","29,776"
